all_celltype,n_cells,top_prediction,top_fraction
Acinar,6,Epithelial cells,0.3333
B,1445,Naive B cells,0.5481
CAF,46,Fibroblasts,0.7391
CD4T,3639,Tcm/Naive helper T cells,0.3127
CD8T,5683,Tem/Temra cytotoxic T cells,0.4899
Ductal,228,Epithelial cells,0.9649
Endocrine,1,Epithelial cells,1.0
Endothelial,164,Endothelial cells,0.9939
Myeloid,445,Mast cells,0.2292
NK,3166,CD16+ NK cells,0.7508
Plasma,16,Plasma cells,0.9375
Platelet,68,Megakaryocytes/platelets,0.4559
Schwann,7,Fibroblasts,0.8571
Stellate,76,Fibroblasts,0.6053
