,celltype,counts
42,Tem/Temra cytotoxic T cells,620
3,CD16+ NK cells,320
43,Tem/Trm cytotoxic T cells,238
40,Tcm/Naive helper T cells,129
33,Naive B cells,113
38,Regulatory T cells,96
26,Memory B cells,81
41,Tem/Effector helper T cells,67
22,MAIT cells,39
15,Epithelial cells,36
47,Type 1 helper T cells,29
14,Endothelial cells,27
7,Classical monocytes,23
39,Tcm/Naive cytotoxic T cells,17
24,Mast cells,17
6,CRTAM+ gamma-delta T cells,16
0,Age-associated B cells,15
17,Fibroblasts,14
18,Follicular helper T cells,13
46,Trm cytotoxic T cells,9
4,CD16- NK cells,8
23,Macrophages,8
48,Type 17 helper T cells,7
1,Alveolar macrophages,5
11,DC2,5
32,NKT cells,4
19,Germinal center B cells,3
45,Treg(diff),3
34,Non-classical monocytes,3
30,Monocytes,3
8,DC,3
2,B cells,3
5,CD8a/a,2
13,Double-positive thymocytes,2
36,Plasmablasts,2
35,Plasma cells,2
28,Mono-mac,2
29,Monocyte precursor,2
25,Megakaryocytes/platelets,2
20,ILC3,2
10,DC1,1
9,DC precursor,1
16,Erythrophagocytic macrophages,1
12,Double-negative thymocytes,1
21,Intestinal macrophages,1
27,Mid erythroid,1
31,NK cells,1
37,Proliferative germinal center B cells,1
44,Transitional B cells,1
49,gamma-delta T cells,1
